,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-12.0,2870.0,0.0348202522115566,-0.05376766091051799,-0.02999999999999997,-0.036137775268209826,-0.03613777526821005,-0.0547945205479452,-1.0,-0.12,-0.08,-0.3142857142857143,-0.03613777526820999,-0.07227555053641987,0,Kei Nishikori,Grigor Dimitrov
1,-14.0,3415.0,-0.16167326172979085,0.1071428571428571,-0.33333333333333337,-0.12012436404748461,-0.12012436404748444,-0.10924369747899165,-1.0,-0.0,0.09523809523809523,0.0,-0.12012436404748447,-0.24024872809496906,0,Milos Raonic,Grigor Dimitrov
2,-1.0,410.0,-0.12071535022354696,0.06901544401544402,-0.24999999999999994,-0.055780285288482,-0.055780285288482,-0.08695652173913038,-1.0,0.36363636363636365,0.045454545454545456,-0.8,-0.055780285288482,-0.111560570576964,0,Stanislas Wawrinka,Kei Nishikori
3,-6.0,2150.0,-0.08701521845851745,0.16710735060814375,-0.15155279503105595,0.04945999018163971,0.04945999018163971,0.07182320441988943,1.0,0.6551724137931034,0.10344827586206896,0.3571428571428571,0.049459990181639685,0.09891998036327943,1,Milos Raonic,Rafael Nadal
4,-9.0,1380.0,-0.10197197716658019,-0.023908523908523938,-0.014285714285714346,-0.04514789828749355,-0.04514789828749349,-0.06818181818181812,-0.33333333333333326,0.10714285714285714,0.07142857142857142,-0.3571428571428572,-0.04514789828749352,-0.09029579657498704,0,Dominic Thiem,Grigor Dimitrov
5,-74.0,4216.0,-0.03692115143929908,0.41165413533834583,0.40350877192982454,0.3979974968710889,0.3979974968710889,0.3580246913580247,1.0,0.14285714285714285,-0.14285714285714285,0.0,0.3979974968710889,0.7959949937421777,1,Kei Nishikori,Jordan Thompson
6,-41.0,4314.0,-0.1070778826994715,-0.09850746268656718,0.19471153846153844,-0.019232435242138135,-0.019232435242138135,0.0092592592592593,1.0,0.2727272727272727,0.030303030303030304,0.24615384615384617,-0.019232435242138135,-0.03846487048427627,1,Stanislas Wawrinka,Kyle Edmund
7,-49.0,4586.0,0.09562607204116647,0.1637931034482759,0.1384615384615384,0.17538593481989717,0.17538593481989712,0.19587628865979378,1.0,0.7058823529411765,0.0,0.3333333333333333,0.17538593481989717,0.3507718696397943,1,Milos Raonic,Diego Sebastian Schwartzman
8,-42.0,2426.0,-0.18421052631578955,0.31333333333333335,0.5192307692307692,0.368421052631579,0.368421052631579,0.368421052631579,1.0,-0.07142857142857142,0.0,0.625,0.368421052631579,0.736842105263158,1,Rafael Nadal,Mischa Zverev
9,-172.0,3095.0,0.07347480106100801,-0.1532467532467532,0.32298136645962733,0.04323607427055709,0.043236074270557034,0.07317073170731714,1.0,0.0,0.0,0.25,0.043236074270557034,0.08647214854111412,1,Dominic Thiem,Samuel Groth
10,-22.0,933.0,-0.12458193979933108,0.19619619619619622,0.36491228070175435,0.2081939799331104,0.20819397993311037,0.18367346938775508,1.0,0.2222222222222222,-0.16666666666666666,1.0,0.2081939799331104,0.4163879598662208,1,Grigor Dimitrov,Nicolas Mahut
11,-58.0,1096.0,-0.009708737864077777,-0.09759615384615383,0.116059379217274,-0.01941747572815522,-0.01941747572815533,-0.01941747572815533,-1.0,-0.08823529411764706,0.058823529411764705,-0.015873015873015817,-0.019417475728155276,-0.03883495145631055,0,David Ferrer,Jordan Thompson
12,-100.0,4335.0,0.048401377274963076,0.1195286195286196,-0.04878048780487804,0.060108214461387144,0.060108214461387144,0.06930693069306937,1.0,-0.10344827586206896,-0.034482758620689655,-0.11538461538461542,0.060108214461387116,0.12021642892277429,1,Kei Nishikori,Jared Donaldson
13,-30.0,1155.0,-0.08422459893048129,0.0185185185185186,-0.2720588235294118,-0.13235294117647056,-0.13235294117647056,-0.17948717948717952,-0.0,-0.23076923076923078,0.07692307692307693,-0.4,-0.13235294117647056,-0.2647058823529411,0,Lucas Pouille,Kyle Edmund
14,-25.0,3930.0,-0.007262323943661997,-0.042948038176033876,0.33217391304347826,0.0880281690140845,0.0880281690140845,0.06666666666666665,1.0,0.08695652173913043,-0.21739130434782608,-0.6,0.0880281690140845,0.176056338028169,1,Stanislas Wawrinka,Viktor Troicki
15,-21.0,491.0,-0.11702127659574468,-0.12413793103448278,-0.2511111111111112,-0.20085106382978724,-0.20085106382978724,-0.19587628865979378,-1.0,0.05555555555555555,0.3888888888888889,0.4444444444444444,-0.20085106382978724,-0.40170212765957447,0,Sam Querrey,Diego Sebastian Schwartzman
16,-300.0,742.0,0.17162471395881007,0.17582417582417587,0.0,0.11899313501144171,0.11899313501144165,0.14563106796116498,1.0,0.05555555555555555,-0.05555555555555555,1.0,0.11899313501144165,0.23798627002288336,1,Mischa Zverev,Alex De Minaur
17,-53.0,2540.0,0.16400580551523947,0.007936507936507908,0.345,0.18287373004354124,0.18287373004354135,0.18095238095238098,1.0,0.0,-0.05555555555555555,0.6666666666666666,0.1828737300435413,0.3657474600870826,1,Rafael Nadal,Alexandr Dolgopolov
18,-102.0,378.0,-0.004879635653871173,-0.07521186440677963,0.019639934533551617,-0.0335068314899154,-0.033506831489915456,-0.06735751295336789,-1.0,-0.3333333333333333,-0.0,-0.22857142857142865,-0.03350683148991543,-0.06701366297983086,0,Pierre Hugues Herbert,Samuel Groth
19,-15.0,248.0,0.1501731815932707,0.133201581027668,-0.0766129032258065,0.058386937159821906,0.05838693715982185,0.04444444444444451,1.0,0.13793103448275862,-0.1724137931034483,-0.25,0.05838693715982188,0.11677387431964376,1,Nicolas Mahut,Stephane Robert
20,-16.0,715.0,-0.11074561403508765,0.33666666666666667,0.18840579710144928,0.23793859649122817,0.23793859649122812,0.21904761904761916,1.0,0.058823529411764705,-0.17647058823529413,-0.5,0.23793859649122814,0.4758771929824563,1,Grigor Dimitrov,Steve Johnson
21,-5.0,320.0,-0.017671517671517756,0.1742424242424243,0.1454545454545454,0.1574844074844074,0.1574844074844075,0.11111111111111116,1.0,-0.09523809523809523,-0.14285714285714285,0.11111111111111105,0.15748440748440748,0.3149688149688149,1,David Ferrer,Bernard Tomic
22,-81.0,317.0,0.027614571092832052,0.3936877076411961,-0.08602150537634412,0.209165687426557,0.20916568742655695,0.16666666666666674,1.0,0.0,-0.35294117647058826,-0.16666666666666663,0.20916568742655695,0.41833137485311395,1,Jordan Thompson,Elias Ymer
23,-71.0,685.0,0.037931034482758696,-0.08845208845208852,-0.2575757575757576,-0.1410658307210031,-0.14106583072100315,-0.1327433628318584,-1.0,-0.1,-0.0,0.4,-0.14106583072100315,-0.28213166144200624,0,Gilles Muller,Jared Donaldson
24,-10.0,571.0,-0.04282765737874106,0.0210622710622711,0.009411764705882342,0.0059339525283798045,0.005933952528379749,0.03370786516853941,1.0,0.23076923076923078,-0.07692307692307693,0.6666666666666666,0.005933952528379749,0.011867905056759553,1,Lucas Pouille,Gilles Simon
25,-96.0,558.0,-0.014607100970252751,0.18874378109452739,-0.04409937888198767,0.09062799872054583,0.09062799872054589,0.05102040816326525,1.0,0.0,-0.038461538461538464,-0.2333333333333334,0.09062799872054589,0.18125599744109172,1,Kyle Edmund,Ernesto Escobedo
26,-71.0,781.0,0.056783536585365835,0.15513626834381555,-0.13248638838475502,0.0796493902439025,0.07964939024390244,0.0547945205479452,1.0,0.5,0.18181818181818182,-0.26666666666666666,0.07964939024390247,0.15929878048780494,1,Viktor Troicki,Yoshihito Nishioka
27,-85.0,1739.0,0.108843537414966,0.1278195488721804,0.3896103896103897,0.217687074829932,0.21768707482993196,0.1607142857142858,1.0,-0.21052631578947367,-0.15789473684210525,0.0,0.21768707482993196,0.435374149659864,1,Roberto Bautista Agut,Daniil Medvedev
28,-3.0,5.0,0.09193840579710144,-0.09647979139504559,0.06206206206206211,-0.036684782608695565,-0.036684782608695676,-0.042553191489361764,-1.0,-0.03225806451612903,-0.0,-0.23809523809523808,-0.03668478260869565,-0.07336956521739124,0,Dudi Sela,Daniil Medvedev
29,-33.0,1390.0,0.16981132075471694,0.05555555555555558,0.24208144796380093,0.16981132075471694,0.169811320754717,0.16981132075471694,1.0,-0.2777777777777778,-0.1111111111111111,-0.42857142857142855,0.16981132075471697,0.33962264150943394,1,Roberto Bautista Agut,Benoit Paire
30,-18.0,110.0,0.02055335968379446,0.17897897897897908,0.013888888888888895,0.12911725955204234,0.12911725955204217,0.11290322580645151,1.0,0.29411764705882354,-0.17647058823529413,0.20454545454545459,0.12911725955204223,0.2582345191040845,1,Daniil Medvedev,Jozef Kovalik
