,RANK,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-11.0,-0.00928961748633883,-0.08823529411764697,-0.019943019943019946,-0.060655737704917945,0.022434897243032714,-0.05785123966942152,-1.0,0.05,-0.15,-0.4,-0.007880224191637364,-0.007880224191637364,0,Roger Federer,Milos Raonic
1,-17.0,-0.01261595547309835,0.27120669056152924,0.17045454545454541,0.2233766233766234,0.023502072066354133,0.21153846153846145,-0.3333333333333334,0.23529411764705882,-0.23529411764705882,-0.3333333333333333,0.0909936385855375,0.0909936385855375,1,Roger Federer,Dominic Thiem
2,-4.0,-0.022603978300180905,0.057067271352985616,0.09999999999999998,0.06826401446654606,0.08400950523304812,0.05521472392638027,1.0,0.11538461538461539,0.0,0.0,0.08336505517386006,0.08336505517386006,1,Milos Raonic,Bernard Tomic
3,-25.0,0.030352177942539416,0.12344913151364767,0.11290322580645162,0.12685356811862847,0.028336242114346436,0.0802139037433156,1.0,-0.030303030303030304,-0.030303030303030304,-0.7272727272727273,0.06570790864417655,0.06570790864417655,1,Roger Federer,Grigor Dimitrov
4,-7.0,-0.12414965986394555,0.043006993006992955,-0.10269865067466266,-0.03231292517006801,-0.00660972445344199,-0.0,-1.0,0.16129032258064516,0.06451612903225806,0.875,-0.016860541221951186,-0.016860541221951186,0,Marin Cilic,Dominic Thiem
5,-64.0,-0.03134878819810327,0.16359262229350435,0.2217391304347826,0.17465753424657526,0.037001920977739584,0.1200000000000001,1.0,0.3,0.0,-0.625,0.08787312230470307,0.08787312230470307,1,Milos Raonic,Lucas Pouille
6,-10.0,-0.020127638684339644,-0.05272952853598012,0.09732142857142856,-0.0027000490918016595,0.12072437877272303,-0.016574585635359185,-1.0,-0.36,0.08,-0.027272727272727337,0.07106299660579857,0.07106299660579857,0,Kei Nishikori,Bernard Tomic
7,-274.0,-0.036956521739130443,0.26262626262626265,0.3508771929824561,0.2934782608695652,-0.034224874742116114,0.2790697674418605,1.0,0.0,-0.2,0.8333333333333334,0.08565068427324796,0.08565068427324796,1,Roger Federer,Tobias Kamke
8,-6.0,0.03504273504273503,-0.05751879699248119,-0.00918762088974856,-0.03290598290598279,-0.03859606576734848,-0.029535864978903037,0.3333333333333334,-0.0,-0.09090909090909091,-0.04761904761904767,-0.03651630648440912,-0.03651630648440912,0,Viktor Troicki,Grigor Dimitrov
9,-38.0,-0.061482820976491936,0.12090909090909097,-0.03239289446186,0.04274206805852376,0.024205411421740097,0.03846153846153855,1.0,0.52,0.04,0.0,0.029263263510223098,0.029263263510223098,1,Marin Cilic,Hyeon Chung
10,-49.0,0.17083333333333328,0.1447811447811448,0.2857142857142857,0.23750000000000004,0.07416333945980662,0.22580645161290325,1.0,0.4117647058823529,-0.058823529411764705,0.0,0.13517087390407273,0.13517087390407273,1,Dominic Thiem,Denis Kudla
11,-62.0,0.005742411812961423,0.010526315789473717,-0.013605442176870763,0.0012305168170632097,0.0800651579683993,-0.02020202020202011,-1.0,-0.125,-0.09375,-0.5681818181818182,0.052622733818256495,0.052622733818256495,0,David Goffin,Lucas Pouille
12,-73.0,-0.07509433962264156,0.11045943304007821,0.022727272727272707,0.058113207547169865,0.03324648276858322,0.06796116504854366,1.0,0.2,0.1,0.30000000000000004,0.04327364580815676,0.04327364580815676,1,Milos Raonic,Ivan Dodig
13,-179.0,0.06738809640924748,-0.10023310023310028,0.03319783197831977,-0.03254631906869976,-0.2378616752613658,-0.022624434389140247,1.0,0.1388888888888889,-0.1111111111111111,-0.16666666666666663,-0.16668359718862846,-0.16668359718862846,1,Bernard Tomic,Radek Stepanek
14,-57.0,0.035048049745618925,0.08611111111111114,0.16450216450216454,0.11955907292255519,0.06269309219126518,0.12605042016806722,1.0,0.10526315789473684,0.10526315789473684,0.261904761904762,0.08423464933776256,0.08423464933776256,1,Kei Nishikori,Mikhail Kukushkin
15,-46.0,0.016949152542372836,-0.1569069069069069,-0.11067193675889325,-0.13559322033898302,0.0,-0.13559322033898313,-1.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0,Benjamin Mitchell,Tobias Kamke
16,-10.0,0.07488479262672809,0.21746880570409977,0.10815047021943575,0.1837557603686636,0.026664152663618768,0.1694915254237288,1.0,0.0,0.1,-0.16666666666666669,0.07955876090118388,0.07955876090118388,1,Viktor Troicki,Steve Johnson
17,-13.0,0.036494369827703155,-0.1280632411067194,-0.06984126984126982,-0.09523809523809523,0.036095338827842216,-0.08139534883720922,-0.5,-0.2727272727272727,-0.13636363636363635,-0.2571428571428571,-0.013296834848834233,-0.013296834848834233,0,Gilles Simon,Grigor Dimitrov
18,-9.0,0.03848662752772336,-0.02083333333333337,0.24750000000000005,0.08789954337899542,0.0006325110689436864,0.07006369426751591,1.0,-0.391304347826087,0.0,-0.2272727272727273,0.04006553276782793,0.04006553276782793,1,Hyeon Chung,Samuel Groth
