,WRP2
0,0.38812319510663107
1,0.35743711180261706
2,0.3971445020398426
3,0.4597531218912685
4,0.40595479327121053
5,0.34505273865560804
6,0.34618321050148126
7,0.4330908627834437
8,0.3020505518981763
9,0.3448275862068966
10,0.33064716151078966
11,0.386306767964885
12,0.35983822895754475
13,0.40179855789006197
14,0.35393238043927255
15,0.3617404883834889
16,0.3141855591395085
17,0.34188991184579487
18,0.3112328767123288
19,0.2947272978959026
20,0.30333905253196697
21,0.28721930553737046
22,0.36666666666666664
23,0.29288190346484305
24,0.3752601625155999
25,0.30119896443425853
26,0.3588061690784463
27,0.3541734912107413
28,0.2782438294505126
29,0.4139416193927592
30,0.30612244897959184
31,0.39067997936041976
32,0.3606560315599863
33,0.33340617028808933
34,0.39494135483777143
35,0.2599984853274327
36,0.3478236495768712
37,0.3665697070448761
38,
39,0.31089112592277146
40,0.32668067226890757
41,0.38638863733497786
42,
43,0.2832609793378387
44,0.3555697061144258
45,
46,0.3783811580578301
47,0.3208502757756647
48,0.3133838383838384
49,0.3387096774193548
50,0.30284042522207005
51,
52,0.33501073865644454
53,0.3900102852230512
54,0.44143706294568713
55,0.3374300932532741
56,0.3934670389597704
57,0.3496255958996772
58,0.37081952170217564
59,0.22770205605250332
60,0.3125
61,
62,0.35789112031571707
63,0.31439192782452396
64,0.3014908442715929
65,0.2984159318296043
66,0.39899358706111915
67,
68,0.31023069009975107
69,0.37049148238820323
70,
71,0.24445671549252113
72,0.3159562883552472
73,0.263725268588448
74,
75,0.40444075534343227
76,0.35386409484491477
77,0.38455275601502015
78,
79,0.34667877124773677
80,0.32898059124356854
81,
82,
83,0.3302492406567162
84,0.3392825685346944
85,0.37241140524982086
86,0.31328427460555525
87,0.3270273554494963
88,0.34099485878588875
89,0.3725989046242084
90,0.34855326371978795
91,0.26495109904317854
92,
93,0.2668832176827657
94,0.38202864385411706
95,0.30612244897959184
96,0.3419738754398843
97,0.3898902329766534
98,0.33236408726420447
99,0.3314074748822744
100,0.3148148148148148
101,0.37254515371767544
102,
103,
104,0.39732718382168986
105,
106,
107,0.35547987361546685
108,0.3028495799908165
109,0.4077669902912621
110,0.362382256252884
111,0.4346905448928469
112,0.37244973830086897
113,0.35375435030837243
114,0.36779781329595973
115,0.4116300366300366
116,0.29395433736815063
117,
118,0.34549705028933186
119,0.3256785014207142
120,
121,0.33449287202427325
122,
123,0.3259050978042229
124,0.3157894736842105
125,0.324797422969209
126,0.3291139240506329
127,0.29968384218236693
128,0.3792385582571402
129,0.34798981209069163
130,0.32613614695275994
131,0.32771916675648516
132,
133,0.3778906189102664
134,
135,
136,
137,
138,0.294850825382402
139,0.3692570869990225
140,0.34033859983866965
141,0.36723719813568984
142,
143,0.3111423871322213
144,0.27727673788365786
145,0.3133442312655941
146,0.3072713622713623
147,0.28540903540903545
148,0.308998110667605
149,0.38197105260126374
150,0.3148148148148148
151,0.3483692229606019
152,0.333020275989885
153,0.2747445520654271
154,
155,0.3590686274509804
156,0.28498985801217036
157,0.32366820797798024
158,
159,0.3654141791840178
160,0.2955758962623951
161,0.24324324324324326
162,0.33041096123769154
163,0.30418782256677745
164,0.46534031532147235
165,0.2676056338028169
166,0.3026831687927618
167,0.3265267128355874
168,0.40358116293155666
169,0.317891372076435
170,0.32142857142857145
171,0.37866938064142375
172,0.4026730769384839
173,0.3451477733539317
174,0.35440108246688506
175,0.35393238043927255
176,0.35906115074458433
177,0.24058270620926758
178,0.42055598108996123
179,0.39549646550319056
180,0.35305222346469645
181,0.3430835258873371
182,0.4516587426210609
183,0.3916780639248484
184,0.3553233470614809
185,0.356121465043513
186,0.29275193222329765
187,0.5206611570247934
188,0.3717842608199719
189,0.3158705286474689
190,0.4078125054414663
191,0.30535685629130255
192,0.3222263681153388
193,0.3333333333333333
194,
195,0.34253113275607455
196,0.37583211321507703
197,0.32199362108969787
198,0.18705547652916074
199,0.34953635275509254
200,0.33931154599440005
201,
202,0.25609756097560976
203,0.36774193548387096
204,0.3512764632627647
205,
206,0.32070858796808793
207,
208,0.38271604938271603
209,
210,0.32608695652173914
211,0.3483636517167794
212,0.35714285714285715
213,0.4011120326088094
214,0.36363636363636365
215,0.4120436225699384
216,0.22585234133169413
217,0.40789473684210525
218,0.3335888264350196
219,0.28773988692466956
220,
221,0.3748781968694004
222,
223,
224,
225,
226,0.3780221513892913
227,
228,
229,
230,
231,
232,
233,
234,0.39290737392003217
235,
236,0.40024572265345826
237,0.33047252832677587
238,0.40048597788551255
239,0.3787512444886929
240,0.3211080326911298
241,0.31407883127515535
242,0.30592778699970763
243,0.35763274364346626
244,0.2631578947368421
245,0.4098360655737705
246,0.38411941997125854
247,0.2927208748071109
248,0.39103622901889684
249,0.36270338912210687
250,0.3143786150418204
251,0.3783803168392341
252,
253,0.349007793307571
254,0.16666666666666666
255,
256,
257,
258,
259,
260,0.32785714285714285
261,0.4109568534608108
262,
263,0.3881752376082093
264,0.332231907271335
265,0.3482417181241286
266,0.35069992740626604
267,0.28073406097654097
268,0.3688825162584897
269,0.3317956795679568
270,0.4728403824875214
271,0.34120582475845634
272,0.3670968662501194
273,0.3863118044152527
274,0.3511581187865284
275,0.37430555555555556
276,
277,0.37439595438155204
278,0.35585377423977294
279,
280,0.3148950946126679
281,0.38095238095238093
282,0.39080459770114945
283,0.33322674541340797
284,0.384780821641985
285,0.4125
286,
287,0.3414161976526544
288,
289,0.3370600863878653
290,0.3090028577493812
291,0.42703445670648804
292,0.310351190273784
293,0.43187148217636023
294,0.3164627993236241
295,0.37131592121168594
296,0.2803761600967245
297,0.21019149521981634
298,0.3562946832229913
299,0.2558139534883721
300,0.4567901234567901
301,0.34173025453798866
302,0.3602702989976511
303,0.28148718826684926
304,0.3528088845972509
305,0.3405937801429029
306,
307,0.33705882352941174
308,
309,
310,0.23333333333333334
311,0.31956221283240227
312,0.3313428146060732
313,0.34010416666666665
