,tourney_id,tourney_name,round,winner_id,winner_name,loser_id,loser_name,winner_rank,winner_rank_points,loser_rank,loser_rank_points,w_ace,l_ace,w_df,l_df,w_svpt,w_1stWon,w_1stIn,l_svpt,l_1stWon,l_1stIn,w_2ndWon,l_2ndWon,w_ret_w,w_ret_tot,l_ret_w,l_ret_tot,WRP,WRP2
1927,2017-M024,Cincinnati Masters,R64,103852,Feliciano Lopez,111202,Hyeon Chung,34.0,1250.0,49.0,951.0,14.0,5.0,1.0,2.0,62.0,35.0,40.0,52.0,18.0,23.0,12.0,16.0,18,52,15,62,-0.1085189850339826,-0.1085189850339826
1928,2017-M024,Cincinnati Masters,R64,106283,Mitchell Krueger,105332,Benoit Paire,244.0,206.0,41.0,1085.0,3.0,5.0,1.0,5.0,53.0,24.0,31.0,46.0,13.0,22.0,11.0,6.0,27,46,18,53,-0.19132653061224497,-0.19132653061224497
1929,2017-M024,Cincinnati Masters,R64,105223,Juan Martin Del Potro,104607,Tomas Berdych,30.0,1370.0,15.0,2390.0,17.0,12.0,7.0,3.0,71.0,37.0,42.0,91.0,38.0,55.0,14.0,17.0,36,91,20,71,0.027005579375654787,0.027005579375654787
1930,2017-M024,Cincinnati Masters,R64,105216,Yuichi Sugita,106058,Jack Sock,46.0,980.0,16.0,2335.0,7.0,5.0,2.0,5.0,73.0,25.0,38.0,65.0,27.0,43.0,22.0,10.0,28,65,26,73,0.0009936614400251065,0.0009936614400251065
1931,2017-M024,Cincinnati Masters,R64,105311,Joao Sousa,106378,Kyle Edmund,54.0,890.0,45.0,1017.0,7.0,3.0,1.0,5.0,72.0,37.0,48.0,75.0,29.0,44.0,13.0,16.0,30,75,22,72,-0.0118997874854046,-0.0118997874854046
1932,2017-M024,Cincinnati Masters,R64,111575,Karen Khachanov,106043,Diego Sebastian Schwartzman,32.0,1320.0,33.0,1315.0,6.0,0.0,7.0,0.0,86.0,36.0,45.0,76.0,30.0,47.0,16.0,12.0,34,76,34,86,-0.08103214589839702,-0.08103214589839702
1933,2017-6242,Winston-Salem,F,105138,Roberto Bautista Agut,106000,Damir Dzumhur,15.0,2425.0,67.0,725.0,3.0,1.0,1.0,4.0,50.0,19.0,28.0,81.0,30.0,53.0,12.0,12.0,39,81,19,50,0.019999975364540457,0.019999975364540457
1934,2017-6242,Winston-Salem,SF,105138,Roberto Bautista Agut,105526,Jan Lennard Struff,15.0,2425.0,56.0,883.0,2.0,6.0,2.0,4.0,45.0,19.0,24.0,64.0,22.0,28.0,14.0,10.0,32,64,12,45,0.08958638590941154,0.08958638590941154
1935,2017-6242,Winston-Salem,SF,106000,Damir Dzumhur,106378,Kyle Edmund,67.0,725.0,45.0,1007.0,2.0,7.0,4.0,2.0,90.0,34.0,54.0,88.0,37.0,53.0,19.0,14.0,37,88,37,90,0.03667600782527031,0.03667600782527031
1936,2017-6242,Winston-Salem,QF,105138,Roberto Bautista Agut,126203,Taylor Harry Fritz,15.0,2425.0,116.0,484.0,5.0,9.0,2.0,1.0,55.0,28.0,33.0,69.0,26.0,36.0,16.0,16.0,27,69,11,55,0.05374574708825508,0.05374574708825508
