,WRP2
0,0.38882805080199395
1,0.33220326787423854
2,0.3021178768184306
3,0.34573939717209284
4,0.37324452088882054
5,0.3442260984087908
6,0.41581259257546066
7,0.3793103448275862
8,0.34781996372919
9,0.294847593499467
10,0.3193271677314838
11,0.4102731176865137
12,0.34525433941387185
13,0.441483559295621
14,0.3435031129529121
15,
16,0.3267205983981057
17,0.3922841377076546
18,0.45098039215686275
19,0.38961038961038963
20,0.39224137931034486
21,0.37331399217740907
22,0.35385029426601244
23,
24,0.34574096013261313
25,0.33461548520128626
26,0.34849717273520064
27,0.35173107420072813
28,0.3811476705618343
29,0.37140362717321435
30,0.3528974828170698
31,0.474025974025974
32,0.3783348151993253
33,
34,0.24444444444444444
35,0.2828282828282828
36,0.28665006034281465
37,0.3578574657429798
38,
39,0.34243281605045695
40,
41,
42,
43,0.37318181818181817
44,0.3647188518352955
45,0.3709677419354839
46,
47,0.3975489535421354
48,0.3311266781739755
49,0.30584826132771337
50,0.3027659397100562
51,0.28136802874794686
52,0.35294117647058826
53,
54,0.43772147321544164
55,0.37060091510484905
56,0.31390005775672125
57,0.29006363115501926
58,0.3622478443048169
59,0.39519776426105546
60,0.34984690669104307
61,0.3678020487798414
62,0.3817893636026929
63,0.3640505334420574
64,
65,0.38448033944425875
66,0.4180099567835417
67,0.36898792484896237
68,0.3393839225831178
69,0.3685586394970328
70,0.3270111633534196
71,0.33783783783783783
72,0.3607809847198642
73,0.31420586865393574
74,0.2665609584214236
75,0.3928219662172286
76,0.35365853658536583
77,
78,0.37349564525440226
79,0.2857142857142857
80,0.3940654332898338
81,0.38775331271590074
82,0.3582089552238806
83,
84,0.3637008367782291
85,0.3563817632297059
86,0.40480607954287534
87,0.34784339232909417
88,0.273067590927467
89,0.3692957531411404
90,0.3134510810530944
91,0.35250440704325975
92,0.24297305128948132
93,0.36305408432841413
94,0.30337848889091124
95,0.3090453236564692
96,0.29946480935090347
97,0.3334430619922208
98,0.3583528460704525
99,0.37907962199626777
100,0.175
101,0.30742431652081104
102,
103,
104,0.33921543165188406
105,0.27797112219655473
106,0.30982857001054886
107,
108,0.37140541799864635
109,0.35725272028033667
110,0.3647457759511621
111,0.2600691870521374
112,0.38641602949653847
