,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-14.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Taylor Harry Fritz,Denis Kudla
1,-23.0,269.0,0.030166435506241318,-0.18240807498197553,-0.24444444444444446,-0.19694868238557572,-0.08263246425567705,-0.11256700416914822,-1.0,-0.3257575757575758,0.06060606060606061,0.0,-0.150625999540401,-0.2795811466412528,1,John Millman,Tennys Sandgren
2,-56.0,1134.0,-0.014730336576380676,0.17811021426898843,-0.028559391323893846,0.09851083420958862,0.04893901466042089,0.01666735621512805,-1.0,0.3117126141762659,0.021590947414273642,0.016156991156990985,0.06579744901523618,0.1474498488700095,1,Grigor Dimitrov,Yoshihito Nishioka
3,-83.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,Ugo Humbert,Yasutaka Uchiyama
4,-17.0,175.0,0.17575056380972787,-0.06046151392149579,-0.03475267002639537,0.0012130068584937925,0.012335594733159705,-0.02974848511925976,-1.0,-0.02379790522529182,0.04067454151084107,-0.08769998117824207,0.004979834781974696,0.013548601591653497,1,Jeremy Chardy,Jan Lennard Struff
5,-27.0,315.0,0.032975109065114805,0.06197401454350415,0.05365717817517979,0.06216469374765354,-0.003245668006579383,0.013813132550890783,1.0,0.2763832804161951,0.03135329066724521,-0.045798813980632236,0.015490164174926241,0.05891902574107416,1,Nick Kyrgios,Ryan Harrison
6,-49.0,1075.0,0.04180533918326712,0.159038150247228,0.07548840351490504,0.13787112348275743,0.06488741657791725,0.020801638168102987,1.0,0.16111677856687912,0.010671287132399523,0.16068627450980383,0.09476370889600763,0.20275854006067467,1,Milos Raonic,Aljaz Bedene
7,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,James Duckworth,Andy Murray
8,-116.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Alex De Minaur,Alexei Popyrin
9,-82.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Jordan Thompson,Alex Bolt
10,-93.0,167.0,-0.039113749561273115,-0.08590906446504853,-0.12805546370507315,-0.116061346202044,-0.09846606607743319,-0.07611465357895308,1.0,0.03636972572122954,0.1975201072945434,-0.01646825396825402,-0.10217844797141118,-0.2145274122794772,0,Thanasi Kokkinakis,Jo Wilfried Tsonga
11,-54.0,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Kei Nishikori,Denis Kudla
12,-19.0,752.0,0.019245235687596618,0.16369415223541428,0.05404536329832904,0.12212712829932693,0.042535124755409326,0.022429781646980063,-1.0,0.24178002987984057,0.13085590076370257,0.1240800593741771,0.07116931724503214,0.16466225305473625,1,Grigor Dimitrov,John Millman
13,-171.0,1875.0,0.021975308641975277,0.040322580645161255,-0.13067150635208713,-0.018024691358024758,-0.024074074074074053,0.0,1.0,-0.12679425837320574,0.045454545454545456,0.5,-0.019794238683127574,-0.042098765432098784,0,Kyle Edmund,Yasutaka Uchiyama
14,-5.0,75.0,0.07130590365843958,0.16785323186254253,0.1022626587408535,0.16126593841252135,0.02125047536949365,0.03706458428189341,1.0,0.2975540530234373,-0.08264193399370925,0.27367424242424243,0.07149331750904281,0.182516413782015,0,Nick Kyrgios,Jeremy Chardy
15,-113.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1,Milos Raonic,Miomir Kecmanovic
16,-224.0,1777.0,0.004324541277428762,-0.017380791999890954,-0.0496349163050141,-0.021381788717727668,-0.06174426150870388,-0.032409893713370885,-1.0,0.10136693805641567,0.051620212210201716,0.1805248917748919,-0.04876667952874325,-0.08312605022643155,1,Daniil Medvedev,Andy Murray
17,-41.0,583.0,0.047861498257839696,0.048291020388254835,-0.11051198257080602,0.0021118854045683033,-0.02946766293993547,0.02571428571428569,-1.0,-0.09636062861869311,0.03525641025641027,-0.16503496503496506,-0.011604783096530735,-0.027355777535367165,1,Alex De Minaur,Jordan Thompson
18,-162.0,491.0,0.06027212388910941,-0.15199123908617196,-0.09699385215174688,-0.11657916657712353,-0.014516967082566168,-0.04466294129865256,1.0,-0.23155807022047287,0.03555759189518924,-0.02892841458058848,-0.04995154713648048,-0.1310961336596897,0,Taro Daniel,Jo Wilfried Tsonga
19,-10.0,1755.0,-0.049612525888032,-0.07696921496025833,-0.04147661355690241,-0.06570999302919078,-0.01279601149606091,-0.013033159968057428,-1.0,-0.18503777138540597,-0.0753533612395677,-0.020187305691507174,-0.03577180886008843,-0.0785060045252517,1,Kei Nishikori,Grigor Dimitrov
20,-145.0,775.0,-0.08178611422172455,-0.10163478369592405,-0.18434921295333195,-0.1511814109742442,0.13282247765006386,0.0,-1.0,-0.1742690058479532,0.2111111111111111,0.5277777777777778,0.034537634131795586,-0.018358933324180315,1,Jeremy Chardy,Yasutaka Uchiyama
21,-2.0,122.0,-0.01852037202797563,-0.07399396480783349,-0.05148169624812393,-0.0648562940094406,0.04427287862238927,0.020040765133565452,-1.0,-0.14208919296943756,0.031143537452062914,0.1492424242424243,0.010695969924344073,-0.02058341538705133,1,Daniil Medvedev,Milos Raonic
