,RANK,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-12.0,0.0348202522115566,-0.05376766091051799,-0.02999999999999997,-0.036137775268209826,-0.012796011496060857,-0.0547945205479452,-1.0,-0.12,-0.08,-0.3142857142857143,-0.02283355307765239,-0.02283355307765239,0,Kei Nishikori,Grigor Dimitrov
1,-14.0,-0.16167326172979085,0.1071428571428571,-0.33333333333333337,-0.12012436404748461,-0.05523842859347383,-0.10924369747899165,-1.0,-0.0,0.09523809523809523,0.0,-0.08579430723719564,-0.08579430723719564,0,Milos Raonic,Grigor Dimitrov
2,-1.0,-0.12071535022354696,0.06901544401544402,-0.24999999999999994,-0.055780285288482,0.06467328665403249,-0.08695652173913038,-1.0,0.36363636363636365,0.045454545454545456,-0.8,0.020682719873590882,0.020682719873590882,0,Stanislas Wawrinka,Kei Nishikori
3,-6.0,-0.08701521845851745,0.16710735060814375,-0.15155279503105595,0.04945999018163971,-0.12195197318349195,0.07182320441988943,1.0,0.6551724137931034,0.10344827586206896,0.3571428571428571,-0.06023824634353189,-0.06023824634353189,1,Milos Raonic,Rafael Nadal
4,-9.0,-0.10197197716658019,-0.023908523908523938,-0.014285714285714346,-0.04514789828749355,-0.0068650792651542844,-0.06818181818181812,-0.3333333333333333,0.10714285714285714,0.07142857142857142,-0.3571428571428572,-0.023075134995025115,-0.023075134995025115,0,Dominic Thiem,Grigor Dimitrov
5,-74.0,-0.03692115143929908,0.41165413533834583,0.40350877192982454,0.3979974968710889,0.027893674975967675,0.3580246913580247,1.0,0.14285714285714285,-0.14285714285714285,0.0,0.16030138801836058,0.16030138801836058,1,Kei Nishikori,Jordan Thompson
6,-41.0,-0.1070778826994715,-0.09850746268656718,0.19471153846153844,-0.019232435242138135,0.017200163288871195,0.0092592592592593,1.0,0.2727272727272727,0.030303030303030304,0.24615384615384617,0.004182492869722693,0.004182492869722693,1,Stanislas Wawrinka,Kyle Edmund
7,-49.0,0.09562607204116647,0.1637931034482759,0.1384615384615384,0.17538593481989717,-0.10140736782206412,0.19587628865979378,1.0,0.7058823529411765,0.0,0.3333333333333333,0.005164223012053271,0.005164223012053271,1,Milos Raonic,Diego Sebastian Schwartzman
8,-42.0,-0.18421052631578955,0.31333333333333335,0.5192307692307692,0.368421052631579,0.1475510275161851,0.368421052631579,1.0,-0.07142857142857142,0.0,0.625,0.22776943558052692,0.22776943558052692,1,Rafael Nadal,Mischa Zverev
9,-172.0,0.07347480106100801,-0.1532467532467532,0.32298136645962733,0.04323607427055709,-0.19482758620689655,0.07317073170731714,1.0,0.0,0.0,0.25,-0.13795573035763284,-0.13795573035763284,1,Dominic Thiem,Samuel Groth
10,-22.0,-0.12458193979933108,0.19619619619619622,0.36491228070175435,0.2081939799331104,0.07269191039923861,0.18367346938775508,1.0,0.2222222222222222,-0.16666666666666666,1.0,0.1273083286122526,0.1273083286122526,1,Grigor Dimitrov,Nicolas Mahut
11,-58.0,-0.009708737864077777,-0.09759615384615383,0.116059379217274,-0.01941747572815522,0.04445395521699247,-0.01941747572815533,-1.0,-0.08823529411764706,0.058823529411764705,-0.015873015873015817,0.021415548190376055,0.021415548190376055,0,David Ferrer,Jordan Thompson
12,-100.0,0.048401377274963076,0.1195286195286196,-0.04878048780487804,0.060108214461387144,0.04096932605275172,0.06930693069306937,1.0,-0.10344827586206896,-0.034482758620689655,-0.11538461538461542,0.046517141787388305,0.046517141787388305,1,Kei Nishikori,Jared Donaldson
13,-30.0,-0.08422459893048129,0.0185185185185186,-0.2720588235294118,-0.13235294117647056,0.015434341919967787,-0.17948717948717952,-0.0,-0.23076923076923078,0.07692307692307693,-0.4,-0.0416034644572382,-0.0416034644572382,0,Lucas Pouille,Kyle Edmund
14,-25.0,-0.007262323943661997,-0.042948038176033876,0.33217391304347826,0.0880281690140845,-0.015606258626114531,0.06666666666666665,1.0,0.08695652173913043,-0.21739130434782608,-0.6,0.019451325435279637,0.019451325435279637,1,Stanislas Wawrinka,Viktor Troicki
15,-21.0,-0.11702127659574468,-0.12413793103448278,-0.2511111111111112,-0.20085106382978724,-0.10661700017129956,-0.19587628865979378,-1.0,0.05555555555555555,0.3888888888888889,0.4444444444444444,-0.14524625991110046,-0.14524625991110046,0,Sam Querrey,Diego Sebastian Schwartzman
16,-300.0,0.17162471395881007,0.17582417582417587,0.0,0.11899313501144171,-0.037219402536255115,0.14563106796116498,1.0,0.05555555555555555,-0.05555555555555555,1.0,0.011920017658842486,0.011920017658842486,1,Mischa Zverev,Alex De Minaur
17,-53.0,0.16400580551523947,0.007936507936507908,0.345,0.18287373004354124,0.09520959637994802,0.18095238095238098,1.0,0.0,-0.05555555555555555,0.6666666666666666,0.1284370193988466,0.1284370193988466,1,Rafael Nadal,Alexandr Dolgopolov
18,-102.0,-0.004879635653871173,-0.07521186440677963,0.019639934533551617,-0.0335068314899154,0.1035405690200211,-0.06735751295336789,-1.0,-0.3333333333333333,-0.0,-0.22857142857142865,0.060877813374760836,0.060877813374760836,0,Pierre Hugues Herbert,Samuel Groth
19,-15.0,0.1501731815932707,0.133201581027668,-0.0766129032258065,0.058386937159821906,0.06495639389632635,0.04444444444444451,1.0,0.13793103448275862,-0.1724137931034483,-0.25,0.061771331662035134,0.061771331662035134,1,Nicolas Mahut,Stephane Robert
20,-16.0,-0.11074561403508765,0.33666666666666667,0.18840579710144928,0.23793859649122817,0.07762420878398912,0.21904761904761916,1.0,0.058823529411764705,-0.17647058823529413,-0.5,0.12877705399209388,0.12877705399209388,1,Grigor Dimitrov,Steve Johnson
21,-5.0,-0.017671517671517756,0.1742424242424243,0.1454545454545454,0.1574844074844074,0.12464150010277505,0.11111111111111116,1.0,-0.09523809523809523,-0.14285714285714285,0.11111111111111105,0.13391978337761026,0.13391978337761026,1,David Ferrer,Bernard Tomic
22,-81.0,0.027614571092832052,0.3936877076411961,-0.08602150537634412,0.209165687426557,0.013888888888888895,0.16666666666666674,1.0,0.0,-0.35294117647058826,-0.16666666666666663,0.08635592113852983,0.08635592113852983,1,Jordan Thompson,Elias Ymer
23,-71.0,0.037931034482758696,-0.08845208845208852,-0.2575757575757576,-0.1410658307210031,-0.02421151118543574,-0.1327433628318584,-1.0,-0.1,-0.0,0.4,-0.0589240007866427,-0.0589240007866427,0,Gilles Muller,Jared Donaldson
24,-10.0,-0.04282765737874106,0.0210622710622711,0.009411764705882342,0.0059339525283798045,-0.035931489218779644,0.03370786516853941,1.0,0.23076923076923078,-0.07692307692307693,0.6666666666666666,-0.019261663640679133,-0.019261663640679133,1,Lucas Pouille,Gilles Simon
25,-96.0,-0.014607100970252751,0.18874378109452739,-0.04409937888198767,0.09062799872054583,0.09471443511522154,0.05102040816326525,1.0,0.0,-0.038461538461538464,-0.2333333333333334,0.09120077462184054,0.09120077462184054,1,Kyle Edmund,Ernesto Escobedo
26,-71.0,0.056783536585365835,0.15513626834381555,-0.13248638838475502,0.0796493902439025,-0.04737587976427138,0.0547945205479452,1.0,0.5,0.18181818181818182,-0.26666666666666666,-0.0017714803911375587,-0.0017714803911375587,1,Viktor Troicki,Yoshihito Nishioka
27,-85.0,0.108843537414966,0.1278195488721804,0.3896103896103897,0.217687074829932,0.04312112995947198,0.1607142857142858,1.0,-0.21052631578947367,-0.15789473684210525,0.0,0.11317993676026378,0.11317993676026378,1,Roberto Bautista Agut,Daniil Medvedev
28,-3.0,0.09193840579710144,-0.09647979139504559,0.06206206206206211,-0.036684782608695565,-0.10034660672395712,-0.042553191489361764,-1.0,-0.03225806451612903,-0.0,-0.23809523809523808,-0.07605977505819986,-0.07605977505819986,0,Dudi Sela,Daniil Medvedev
29,-33.0,0.16981132075471694,0.05555555555555558,0.24208144796380093,0.16981132075471694,0.01242692845849458,0.16981132075471694,1.0,-0.2777777777777778,-0.1111111111111111,-0.42857142857142855,0.0787329056422762,0.0787329056422762,1,Roberto Bautista Agut,Benoit Paire
30,-18.0,0.02055335968379446,0.17897897897897908,0.013888888888888895,0.12911725955204234,0.10128495842781554,0.11290322580645151,1.0,0.29411764705882354,-0.17647058823529413,0.20454545454545459,0.10397975615366925,0.10397975615366925,1,Daniil Medvedev,Jozef Kovalik
31,-69.0,-0.028059701492537337,0.04065040650406504,-0.1695156695156695,-0.04298507462686563,0.025222557317074342,-0.05633802816901401,-1.0,-0.3181818181818182,-0.0,-0.41666666666666663,-0.0006509713851023669,-0.0006509713851023669,0,Albert Ramos,Dudi Sela
32,-54.0,-0.1301587301587302,0.3706293706293706,0.2961956521739131,0.3031746031746032,-0.02314940730555232,0.31034482758620685,1.0,0.0,0.06666666666666667,0.0,0.09185108595319758,0.09185108595319758,1,Benoit Paire,Aljaz Bedene
33,-43.0,0.02564102564102566,-0.013227513227513255,0.005952380952380931,-0.0045787545787546735,0.0508857087638564,-0.012345679012345734,1.0,-0.03571428571428571,0.03571428571428571,-0.06666666666666665,0.029135316405839773,0.029135316405839773,1,Roberto Bautista Agut,Mikhail Youzhny
34,-111.0,-0.02784206943498979,0.1054653396193469,-0.047388781431334626,0.04526889040163373,0.08563013034797551,0.020576131687242816,-1.0,0.2702702702702703,-0.0,-0.21818181818181825,0.07386748828859238,0.07386748828859238,0,Marin Cilic,Jozef Kovalik
35,-35.0,-0.030511060259344025,-0.16666666666666663,-0.028213166144200552,-0.09992372234935165,-0.06454180325695835,-0.11111111111111116,-1.0,-0.21052631578947367,0.10526315789473684,-0.15555555555555556,-0.06526633148508501,-0.06526633148508501,0,Yen Hsun Lu,Daniil Medvedev
36,-59.0,-0.16805616498464238,0.25579322638146174,0.26666666666666666,0.24177270732777545,-0.006432322191067486,0.25,1.0,0.07142857142857142,0.14285714285714285,0.5555555555555556,0.0798465054933302,0.0798465054933302,1,Albert Ramos,Steve Darcis
37,-8.0,0.0015527950310559868,0.18487394957983194,0.2373737373737374,0.20574534161490687,-0.035891360097640324,0.196078431372549,1.0,0.0,-0.125,0.4642857142857143,0.05201260084229373,0.05201260084229373,1,Dudi Sela,Hyeon Chung
38,-427.0,-0.13839662447257384,0.18104448742746615,-0.08750000000000002,0.08421940928270033,0.0,0.09090909090909083,1.0,0.631578947368421,0.05263157894736842,0.18181818181818177,0.0,0.0,1,Benoit Paire,Yuki Bhambri
39,-66.0,0.21824751580849144,-0.2009853644399362,0.0892857142857143,-0.02962962962962956,-0.016742106857520145,-0.015503875968992276,-1.0,-0.2564102564102564,-0.02564102564102564,0.32727272727272727,-0.020372993487910357,-0.020372993487910357,0,Martin Klizan,Aljaz Bedene
40,-26.0,-0.012138188608776912,0.11363636363636365,0.2717391304347826,0.16666666666666663,-0.0031579178678960984,0.16030534351145032,1.0,-0.15789473684210525,-0.10526315789473684,0.2222222222222222,0.052341500132887187,0.052341500132887187,1,Mikhail Youzhny,Renzo Olivo
41,-84.0,-0.09020979020979025,0.13282732447817835,0.25000000000000006,0.1503496503496503,0.0237499427751518,0.1588785046728971,1.0,-0.17647058823529413,0.058823529411764705,0.6,0.07536608217704766,0.07536608217704766,1,Roberto Bautista Agut,Rogerio Dutra Silva
