,RANK,POINTS,FS,W1SP,W2SP,WSP,WRP,TPW,TMW,ACES,DF,BP,COMPLETE,SERVEADV,winner,player1,player2
0,-11.0,6095.0,-0.00928961748633883,-0.08823529411764697,-0.019943019943019946,-0.060655737704917945,-0.060655737704918056,-0.05785123966942152,-1.0,0.05,-0.15,-0.4,-0.060655737704918,-0.121311475409836,0,Roger Federer,Milos Raonic
1,-17.0,6665.0,-0.01261595547309835,0.27120669056152924,0.17045454545454541,0.2233766233766234,0.22337662337662334,0.21153846153846145,-0.3333333333333334,0.23529411764705882,-0.23529411764705882,-0.3333333333333333,0.22337662337662334,0.44675324675324674,1,Roger Federer,Dominic Thiem
2,-4.0,495.0,-0.022603978300180905,0.057067271352985616,0.09999999999999998,0.06826401446654606,0.06826401446654612,0.05521472392638027,1.0,0.11538461538461539,0.0,0.0,0.06826401446654612,0.13652802893309218,1,Milos Raonic,Bernard Tomic
3,-25.0,6905.0,0.030352177942539416,0.12344913151364767,0.11290322580645162,0.12685356811862847,0.12685356811862838,0.0802139037433156,1.0,-0.030303030303030304,-0.030303030303030304,-0.7272727272727273,0.12685356811862838,0.2537071362372569,1,Roger Federer,Grigor Dimitrov
4,-7.0,805.0,-0.12414965986394555,0.043006993006992955,-0.10269865067466266,-0.03231292517006801,-0.03231292517006801,-0.0,-1.0,0.16129032258064516,0.06451612903225806,0.875,-0.03231292517006801,-0.06462585034013602,0,Marin Cilic,Dominic Thiem
5,-64.0,1498.0,-0.03134878819810327,0.16359262229350435,0.2217391304347826,0.17465753424657526,0.17465753424657532,0.1200000000000001,1.0,0.3,0.0,-0.625,0.17465753424657532,0.3493150684931506,1,Milos Raonic,Lucas Pouille
6,-10.0,2560.0,-0.020127638684339644,-0.05272952853598012,0.09732142857142856,-0.0027000490918016595,-0.0027000490918016595,-0.016574585635359185,-1.0,-0.36,0.08,-0.027272727272727337,-0.0027000490918016595,-0.005400098183603319,0,Kei Nishikori,Bernard Tomic
7,-274.0,8080.0,-0.036956521739130443,0.26262626262626265,0.3508771929824561,0.2934782608695652,0.2934782608695652,0.2790697674418605,1.0,0.0,-0.2,0.8333333333333334,0.2934782608695652,0.5869565217391304,1,Roger Federer,Tobias Kamke
8,-6.0,127.0,0.03504273504273503,-0.05751879699248119,-0.00918762088974856,-0.03290598290598279,-0.032905982905982956,-0.029535864978903037,0.3333333333333334,-0.0,-0.09090909090909091,-0.04761904761904767,-0.0329059829059829,-0.06581196581196574,0,Viktor Troicki,Grigor Dimitrov
9,-38.0,1588.0,-0.061482820976491936,0.12090909090909097,-0.03239289446186,0.04274206805852376,0.04274206805852376,0.03846153846153855,1.0,0.52,0.04,0.0,0.04274206805852376,0.08548413611704753,1,Marin Cilic,Hyeon Chung
10,-49.0,881.0,0.17083333333333328,0.1447811447811448,0.2857142857142857,0.23750000000000004,0.2375,0.22580645161290325,1.0,0.4117647058823529,-0.058823529411764705,0.0,0.23750000000000004,0.4750000000000001,1,Dominic Thiem,Denis Kudla
11,-62.0,1208.0,0.005742411812961423,0.010526315789473717,-0.013605442176870763,0.0012305168170632097,0.0012305168170631542,-0.02020202020202011,-1.0,-0.125,-0.09375,-0.5681818181818182,0.001230516817063182,0.002461033634126364,0,David Goffin,Lucas Pouille
12,-73.0,1534.0,-0.07509433962264156,0.11045943304007821,0.022727272727272707,0.058113207547169865,0.05811320754716981,0.06796116504854366,1.0,0.2,0.1,0.30000000000000004,0.05811320754716981,0.11622641509433967,1,Milos Raonic,Ivan Dodig
13,-179.0,1423.0,0.06738809640924748,-0.10023310023310028,0.03319783197831977,-0.03254631906869976,-0.032546319068699814,-0.022624434389140247,1.0,0.1388888888888889,-0.1111111111111111,-0.16666666666666663,-0.032546319068699814,-0.06509263813739957,1,Bernard Tomic,Radek Stepanek
14,-57.0,3473.0,0.035048049745618925,0.08611111111111114,0.16450216450216454,0.11955907292255519,0.11955907292255508,0.12605042016806722,1.0,0.10526315789473684,0.10526315789473684,0.261904761904762,0.1195590729225551,0.23911814584511026,1,Kei Nishikori,Mikhail Kukushkin
15,-46.0,40.0,0.016949152542372836,-0.1569069069069069,-0.11067193675889325,-0.13559322033898302,-0.13559322033898302,-0.13559322033898313,-1.0,0.16666666666666666,0.16666666666666666,0.0,-0.13559322033898302,-0.27118644067796605,0,Benjamin Mitchell,Tobias Kamke
16,-10.0,247.0,0.07488479262672809,0.21746880570409977,0.10815047021943575,0.1837557603686636,0.1837557603686636,0.1694915254237288,1.0,0.0,0.1,-0.16666666666666669,0.1837557603686636,0.3675115207373272,1,Viktor Troicki,Steve Johnson
17,-13.0,785.0,0.036494369827703155,-0.1280632411067194,-0.06984126984126982,-0.09523809523809523,-0.09523809523809523,-0.08139534883720922,-0.5,-0.2727272727272727,-0.13636363636363635,-0.2571428571428571,-0.09523809523809523,-0.19047619047619047,0,Gilles Simon,Grigor Dimitrov
18,-9.0,35.0,0.03848662752772336,-0.02083333333333337,0.24750000000000005,0.08789954337899542,0.08789954337899547,0.07006369426751591,1.0,-0.391304347826087,0.0,-0.2272727272727273,0.08789954337899547,0.17579908675799089,1,Hyeon Chung,Samuel Groth
19,-60.0,260.0,0.1321514907332796,0.19318181818181823,0.09961685823754785,0.1651893634165995,0.1651893634165995,0.139240506329114,1.0,-0.2222222222222222,0.0,0.17500000000000004,0.16518936341659948,0.330378726833199,1,Denis Kudla,John Patrick Smith
20,-100.0,1115.0,0.14838709677419354,-0.03273809523809523,0.14644607843137258,0.07634408602150544,0.07634408602150539,0.052023121387283267,1.0,-0.35714285714285715,0.03571428571428571,-0.16666666666666663,0.07634408602150541,0.15268817204301083,1,Dominic Thiem,James Duckworth
21,-21.0,775.0,-0.0797448165869219,0.14166666666666672,0.015669515669515688,0.07814992025518341,0.07814992025518341,0.05691056910569103,1.0,-0.2,0.1,-0.19999999999999996,0.07814992025518339,0.15629984051036683,1,David Goffin,Thomaz Bellucci
22,-39.0,177.0,0.14035087719298245,0.171875,-0.0518433179723502,0.11578947368421055,0.11578947368421055,0.07906976744186056,1.0,0.41935483870967744,-0.03225806451612903,-0.30000000000000004,0.11578947368421058,0.2315789473684211,1,Lucas Pouille,Yoshihito Nishioka
23,-726.0,611.0,0.035321821036106815,0.06666666666666676,0.2751196172248804,0.15894819466248045,0.1589481946624804,0.14851485148514842,1.0,0.47058823529411764,0.058823529411764705,0.0,0.15894819466248042,0.3178963893249609,1,Ivan Dodig,Oliver Anderson
24,-53.0,965.0,-0.003728813559321975,0.09939148073022308,0.08380952380952389,0.09186440677966101,0.09186440677966101,0.11926605504587151,0.0,0.21052631578947367,-0.05263157894736842,0.30000000000000004,0.09186440677966101,0.18372881355932202,1,Bernard Tomic,Nicolas Mahut
25,-121.0,426.0,0.022644927536231818,-0.12,-0.3146997929606625,-0.20833333333333331,-0.20833333333333331,-0.2127659574468086,-1.0,-0.2,-0.0,-0.5,-0.20833333333333331,-0.41666666666666663,0,Dusan Lajovic,Radek Stepanek
26,-4.0,19.0,0.06646015206983946,-0.0625,-0.07373271889400923,-0.05998310335116874,-0.05998310335116869,-0.10000000000000009,-1.0,0.25,-0.15,-0.4285714285714286,-0.05998310335116869,-0.11996620670233743,0,Denis Istomin,Mikhail Kukushkin
