,WRP1
0,0.36639315355896124
1,0.35570533994059267
2,0.38612738205147873
3,0.3740756392864393
4,0.37985424534226253
5,0.3812280193865304
6,0.29508821380273764
7,0.3450854700854701
8,0.38641602949653847
9,0.3190530049212071
10,0.3934905071912904
11,0.3302079597181144
12,0.37850082218245507
13,0.20362188403425519
14,0.40619620514417726
15,
16,0.35338475106172446
17,0.35618879887981236
18,0.45161290322580644
19,0.25869565217391305
20,0.3960943257184967
21,0.39235830778691233
22,0.3403576314064268
23,
24,0.3312919406025358
25,0.36607517031656317
26,0.3620765476799472
27,0.400843402643127
28,0.38692379252509485
29,0.33404082158985027
30,0.39618654272883225
31,0.35134836427939875
32,0.31516828374097944
33,
34,0.3944954128440367
35,0.33966033966033965
36,0.3630540843284141
37,0.37877886002886
38,
39,0.3825271349991669
40,
41,
42,
43,0.345679012345679
44,0.3084044481530482
45,0.22424242424242424
46,
47,0.3266042859578352
48,0.3242597059324432
49,0.32037722545390446
50,0.38825360968193534
51,0.3592375366568915
52,0.3389830508474576
53,
54,0.45481387246576377
55,0.4405306137099706
56,0.4883667239387163
57,0.42345549404346844
58,0.3668703279654465
59,0.3486870415334173
60,0.41646161637827883
61,0.43757799170805084
62,0.3437561070940004
63,0.4050890934079945
64,
65,0.37277992260903653
66,0.33644718671596496
67,0.3852771919666673
68,0.4426787789023704
69,0.4120142258462081
70,0.35112781476895044
71,0.25
72,0.3228260869565217
73,0.29792490118577075
74,0.2922049956933678
75,0.3780509591898326
76,0.32894736842105265
77,
78,0.2956397823286631
79,0.38888888888888884
80,0.32535408274970884
81,0.35564541954185175
82,0.35
83,
84,0.44738488090343703
85,0.369415227915448
86,0.3844910144161538
87,0.34134414610820824
88,0.3803257388174095
89,0.38208698485296455
90,0.3927830545575927
91,0.33039916239024925
92,0.2610958366064415
93,0.2866500603428147
94,0.32375717070453913
95,0.3487404853624507
96,0.39538862333797403
97,0.30956650022564425
98,0.3833896837335986
99,0.3604211043740215
100,0.21008403361344538
101,0.3051176693850385
102,
103,
104,0.32158334399384764
105,0.3094739543194851
106,0.37287104428101636
107,
108,0.35354251750974824
109,0.3893912281183797
110,0.32298577775537557
111,0.39450549450549455
112,0.34781996372919
113,0.36250201921896763
114,0.38528393987944765
115,0.3580515272936603
116,0.37900291043147893
117,0.3885667614187372
118,0.2892778857819747
119,0.29762453932205035
120,0.3636516733166403
121,0.34351851851851856
122,0.3695319908678314
123,
124,0.3892467156104802
125,
126,0.34402752018318977
127,0.2692307692307692
128,0.49295774647887325
129,0.3866823843619154
130,0.4024390243902439
131,0.34754904008706844
132,0.3065082861719648
133,0.3461657223995446
134,
135,
136,0.37986132511556236
137,0.3
138,0.296117216868165
139,0.31666666666666665
140,0.3616463814171854
141,
142,0.35277389039808743
143,0.491350015446401
144,0.34418358102422264
145,
